fold,model,group,rules,include_overtime,mae,rmse,mape_pct,mape_excluded_zeros,n,train_mae,mae_gap
1,train_mean,baseline,n/a,False,181.21476510067114,225.11874569753078,25.282652081758343,0,149,,
1,weekday_mean,baseline,n/a,False,113.25503355704699,164.27095394111777,16.745635008556363,0,149,,
1,available_rate,baseline,n/a,False,188.89261744966444,221.13300379890723,26.327508169603796,0,149,,
1,past_5_actual_mean,baseline,n/a,False,167.56375838926175,217.19095918494824,21.377815183812395,0,149,,
1,lightgbm,A,v2,True,107.04026845637584,144.74075412972073,14.042702564347426,0,149,45.663851351351354,61.37641710502449
1,lightgbm,B,v2,True,94.51677852348993,127.71016367556761,13.03571583191013,0,149,42.133445945945944,52.38333257754399
1,lightgbm,C,v1,True,93.12080536912751,127.77867295345091,12.877667563404776,0,149,40.491554054054056,52.629251315073454
1,lightgbm,C,v2,True,94.0,127.56222326915257,12.950625780095852,0,149,40.597972972972975,53.402027027027025
1,lightgbm,D,v1,True,103.95973154362416,136.82880108138463,14.546908602303443,0,149,31.56418918918919,72.39554235443497
1,lightgbm,D,v2,True,105.35570469798658,137.6200878891015,14.754958185437891,0,149,31.4375,73.91820469798658
1,xgboost,A,v2,True,100.53020134228188,133.88187220343906,12.955646087532333,0,149,49.070945945945944,51.45925539633594
1,xgboost,B,v2,True,86.02013422818791,111.77244981171681,11.62624560481209,0,149,44.01182432432432,42.00830990386359
1,xgboost,C,v1,True,85.09395973154362,111.29267901656678,11.530935938214473,0,149,43.74662162162162,41.347338109922
1,xgboost,C,v2,True,84.73154362416108,110.31100026073324,11.47565378055501,0,149,43.25,41.48154362416108
1,xgboost,D,v1,True,93.77852348993288,119.65304989423917,12.968315447715106,0,149,36.90033783783784,56.87818565209504
1,xgboost,D,v2,True,91.81879194630872,117.86970966442497,12.708052860758887,0,149,37.336148648648646,54.482643297660076
1,lightgbm,A,v2,False,122.91946308724832,162.50796573145112,15.999787848175984,0,149,54.505067567567565,68.41439551968075
1,lightgbm,B,v2,False,98.23489932885906,134.5975108718059,13.514425466323447,0,149,45.95608108108108,52.27881824777798
1,lightgbm,C,v1,False,96.59060402684564,134.0,13.412961457737316,0,149,44.207770270270274,52.382833756575366
1,lightgbm,C,v2,False,96.40268456375838,133.3542992464689,13.288398016891618,0,149,44.07432432432432,52.32836023943406
1,lightgbm,D,v1,False,104.09395973154362,138.06257699965343,14.73034342128795,0,149,32.93412162162162,71.15983810992199
1,lightgbm,D,v2,False,104.47651006711409,138.76117767419748,14.811705825187838,0,149,32.630067567567565,71.84644249954653
1,xgboost,A,v2,False,116.38255033557047,151.809952720388,15.070295172305133,0,149,55.15371621621622,61.228834119354254
1,xgboost,B,v2,False,89.38255033557047,117.3509621696714,12.10509465672155,0,149,48.005067567567565,41.377482768002906
1,xgboost,C,v1,False,87.91946308724832,115.90849202491565,11.909832800169614,0,149,46.81925675675676,41.10020633049156
1,xgboost,C,v2,False,88.04697986577182,116.06475281340836,11.939406175702638,0,149,46.71283783783784,41.33414202793398
1,xgboost,D,v1,False,93.44295302013423,121.33494049627625,13.065899016362511,0,149,39.87837837837838,53.56457464175585
1,xgboost,D,v2,False,96.01342281879195,124.61360413522462,13.479368602464692,0,149,39.866554054054056,56.146868764737896
2,train_mean,baseline,n/a,False,176.85333333333332,220.337559213131,24.23648194531367,0,150,,
2,weekday_mean,baseline,n/a,False,99.60666666666667,130.26119913466172,13.364845876610762,0,150,,
2,available_rate,baseline,n/a,False,192.50666666666666,224.92028217422575,26.711519023588547,0,150,,
2,past_5_actual_mean,baseline,n/a,False,173.4,218.12928887856089,22.476236068211893,0,150,,
2,lightgbm,A,v2,True,104.33333333333333,131.30387148392336,13.236566545652394,0,150,49.20647773279352,55.126855600539805
2,lightgbm,B,v2,True,85.38,113.48353771950069,10.482427544970529,0,150,45.07692307692308,40.303076923076915
2,lightgbm,C,v1,True,84.66666666666667,112.53473537831182,10.37110151775159,0,150,43.70175438596491,40.96491228070176
2,lightgbm,C,v2,True,84.65333333333334,112.5065331436357,10.378612646929653,0,150,43.64912280701754,41.004210526315795
2,lightgbm,D,v1,True,87.94666666666667,111.71081714259665,11.346317390875393,0,150,35.22132253711201,52.725344129554664
2,lightgbm,D,v2,True,87.52666666666667,111.80289203176574,11.339772513860938,0,150,35.00269905533064,52.52396761133603
2,xgboost,A,v2,True,96.54,123.0113002939161,12.072421121905927,0,150,54.05263157894737,42.487368421052636
2,xgboost,B,v2,True,85.02,111.88806906904776,10.599814732920567,0,150,47.280701754385966,37.73929824561403
2,xgboost,C,v1,True,83.67333333333333,110.47741850713204,10.439006734731707,0,150,45.61808367071525,38.05524966261808
2,xgboost,C,v2,True,82.51333333333334,109.39454587257386,10.290989733318897,0,150,44.99730094466936,37.51603238866397
2,xgboost,D,v1,True,87.12,112.86257129801713,11.231240474864688,0,150,39.64102564102564,47.47897435897436
2,xgboost,D,v2,True,86.30666666666667,112.34280870027537,11.090447973317596,0,150,39.58974358974359,46.71692307692308
2,lightgbm,A,v2,False,116.54,147.63240385046458,14.116964083386849,0,150,57.63967611336032,58.90032388663968
2,lightgbm,B,v2,False,87.06666666666666,115.9755146571896,10.740998603029851,0,150,50.125506072874494,36.94116059379217
2,lightgbm,C,v1,False,87.81333333333333,116.71452351785531,10.859744070678483,0,150,48.99730094466936,38.81603238866397
2,lightgbm,C,v2,False,88.62666666666667,117.31706326589212,10.972213449643222,0,150,48.5668016194332,40.059865047233465
2,lightgbm,D,v1,False,87.42,111.88169346829415,11.191182144752753,0,150,37.60323886639676,49.816761133603244
2,lightgbm,D,v2,False,86.18,110.80189529064924,11.023346590532038,0,150,37.61673414304993,48.563265856950075
2,xgboost,A,v2,False,101.47333333333333,128.47466676352968,12.43377473838486,0,150,59.3859649122807,42.08736842105263
2,xgboost,B,v2,False,82.42,108.94154395821641,10.267328546308715,0,150,51.630229419703106,30.789770580296896
2,xgboost,C,v1,False,83.44,109.9252473274452,10.37274063074273,0,150,50.07422402159244,33.365775978407555
2,xgboost,C,v2,False,83.16666666666667,109.80027322370377,10.33267422427718,0,150,50.21322537112011,32.95344129554656
2,xgboost,D,v1,False,86.48666666666666,111.80032796612599,10.861665049742806,0,150,41.57624831309042,44.91041835357625
2,xgboost,D,v2,False,86.37333333333333,112.16434371046799,10.864988182563728,0,150,41.51821862348178,44.855114709851556
3,train_mean,baseline,n/a,False,183.1,217.7000229673851,24.537663598265922,0,150,,
3,weekday_mean,baseline,n/a,False,121.44,159.9729977214905,16.525589016244012,0,150,,
3,available_rate,baseline,n/a,False,199.19333333333333,233.8900168882802,27.38264755291329,0,150,,
3,past_5_actual_mean,baseline,n/a,False,162.73333333333332,203.3970173494849,20.130986801698285,0,150,,
3,lightgbm,A,v2,True,110.24,143.46878870797417,13.714459491026565,0,150,51.15488215488215,59.08511784511784
3,lightgbm,B,v2,True,96.17333333333333,120.33325946442793,12.17835802573638,0,150,46.098765432098766,50.074567901234566
3,lightgbm,C,v1,True,94.95333333333333,118.96579340297782,12.1497868318062,0,150,44.916947250280586,50.03638608305275
3,lightgbm,C,v2,True,94.19333333333333,117.28685632527912,12.09596788100302,0,150,44.75869809203142,49.434635241301905
3,lightgbm,D,v1,True,95.28666666666666,116.5946539654942,11.993340399531945,0,150,37.158249158249156,58.128417508417506
3,lightgbm,D,v2,True,96.92666666666666,117.826284560506,12.149324889409737,0,150,36.898989898989896,60.027676767676766
3,xgboost,A,v2,True,112.66666666666667,146.90436798588848,13.682429724688985,0,150,56.058361391694724,56.60830527497195
3,xgboost,B,v2,True,93.78666666666666,117.44610111309215,11.873257325467494,0,150,48.901234567901234,44.88543209876543
3,xgboost,C,v1,True,95.5,118.77179799935674,12.138814081452367,0,150,47.31425364758698,48.18574635241302
3,xgboost,C,v2,True,94.93333333333334,117.52957074711028,12.11618008925251,0,150,47.24354657687991,47.68978675645343
3,xgboost,D,v1,True,87.08666666666667,109.70679103865905,10.81742929504497,0,150,42.89562289562289,44.19104377104378
3,xgboost,D,v2,True,87.16666666666667,109.34834246571825,10.85441197980186,0,150,41.898989898989896,45.267676767676775
3,lightgbm,A,v2,False,112.05333333333333,145.40632723509663,14.279765699325722,0,150,59.75308641975309,52.30024691358024
3,lightgbm,B,v2,False,96.9,119.68990489315853,12.569144600327478,0,150,50.49158249158249,46.408417508417514
3,lightgbm,C,v1,False,96.24,119.33543759783456,12.519586948660486,0,150,48.878787878787875,47.36121212121212
3,lightgbm,C,v2,False,95.96,118.61236585336849,12.534186807775876,0,150,48.72278338945006,47.237216610549936
3,lightgbm,D,v1,False,91.94666666666667,112.66274154898474,11.791476225828983,0,150,39.33894500561167,52.607721661055
3,lightgbm,D,v2,False,91.38,111.6441668874823,11.718913250478224,0,150,38.89786756453423,52.482132435465765
3,xgboost,A,v2,False,105.5,144.77980982627838,13.521771985611124,0,150,62.170594837261504,43.329405162738496
3,xgboost,B,v2,False,89.22666666666667,113.17920892696385,11.22702252412957,0,150,52.22671156004489,36.99995510662178
3,xgboost,C,v1,False,89.24,112.46125258653903,11.240768739547729,0,150,50.891133557800224,38.34886644219977
3,xgboost,C,v2,False,90.38,113.85350236158746,11.468728288777385,0,150,51.04713804713805,39.33286195286195
3,xgboost,D,v1,False,85.19333333333333,108.68231993597978,10.6291390472118,0,150,44.60830527497194,40.58502805836139
3,xgboost,D,v2,False,84.07333333333334,107.01791127345615,10.469817929149034,0,150,44.108866442199776,39.96446689113356
4,train_mean,baseline,n/a,False,191.58064516129033,229.74242238899043,25.206139628341795,0,155,,
4,weekday_mean,baseline,n/a,False,121.21290322580646,151.84108840834966,16.030752975051897,0,155,,
4,available_rate,baseline,n/a,False,190.9225806451613,223.90264301340235,24.230481798531244,0,155,,
4,past_5_actual_mean,baseline,n/a,False,166.90967741935484,210.99058226956865,21.300336141899404,0,155,,
4,lightgbm,A,v2,True,108.6258064516129,133.28889313164117,13.32301653251097,0,155,53.764649375600385,54.86115707601252
4,lightgbm,B,v2,True,94.10967741935484,113.6718253173043,11.69333296664923,0,155,47.719500480307396,46.39017693904744
4,lightgbm,C,v1,True,95.69677419354839,115.41182921425622,11.86950629132754,0,155,46.363112391930834,49.33366180161756
4,lightgbm,C,v2,True,93.69032258064516,114.06019915929511,11.687193155324486,0,155,46.65898174831892,47.03134083232624
4,lightgbm,D,v1,True,99.90322580645162,127.3459854098275,12.148430459996648,0,155,39.668587896253605,60.23463791019801
4,lightgbm,D,v2,True,98.96129032258065,126.58010341536762,12.076641903799269,0,155,39.28242074927954,59.678869573301114
4,xgboost,A,v2,True,106.58709677419355,130.9005778838374,13.068090682649613,0,155,57.531219980787704,49.05587679340585
4,xgboost,B,v2,True,91.36129032258064,110.65782773355745,11.440459911817896,0,155,49.97982708933718,41.381463233243466
4,xgboost,C,v1,True,93.18709677419355,112.26816973427451,11.698014727046846,0,155,48.68780019212296,44.49929658207059
4,xgboost,C,v2,True,91.61935483870968,111.64849796022422,11.502557515664162,0,155,48.900096061479346,42.71925877723034
4,xgboost,D,v1,True,98.70322580645161,121.22282868151686,12.264163662359177,0,155,44.33909702209414,54.364128784357476
4,xgboost,D,v2,True,98.12903225806451,120.73703763992438,12.220839989758877,0,155,44.6897214217099,53.439310836354615
4,lightgbm,A,v2,False,119.27741935483871,149.3166801390318,14.402357063978426,0,155,62.39865513928915,56.878764215549566
4,lightgbm,B,v2,False,95.96774193548387,116.77281499810067,11.97357809732358,0,155,51.513928914505286,44.453813020978586
4,lightgbm,C,v1,False,97.56129032258065,117.57693431907029,12.164796500729269,0,155,50.11527377521614,47.44601654736451
4,lightgbm,C,v2,False,96.18064516129033,116.23613340815075,11.975925708836527,0,155,50.306436119116235,45.874209042174094
4,lightgbm,D,v1,False,99.55483870967743,126.41985858701666,12.082681150363587,0,155,41.56099903938521,57.99383967029222
4,lightgbm,D,v2,False,96.58709677419355,123.26611652790466,11.820286100681892,0,155,40.97886647454371,55.60823029964985
4,xgboost,A,v2,False,117.93548387096774,152.25966784284307,13.744642291430345,0,155,64.55427473583093,53.381209135136814
4,xgboost,B,v2,False,97.29677419354839,115.36055679700982,12.090718151628886,0,155,52.671469740634,44.625304452914385
4,xgboost,C,v1,False,95.96774193548387,114.86668289242829,11.892154053571993,0,155,52.061479346781944,43.90626258870193
4,xgboost,C,v2,False,95.58064516129032,115.07660842435187,11.812394829467685,0,155,52.01825168107589,43.56239348021443
4,xgboost,D,v1,False,96.18064516129033,120.64439882457012,11.740120191840626,0,155,45.60710854947166,50.57353661181867
4,xgboost,D,v2,False,99.92258064516129,124.58276171336479,12.217636480406709,0,155,45.21421709894332,54.70836354621797
