model,group,rules,include_overtime,mae,rmse,mape_pct,mape_excluded_zeros,n
xgboost,C,v2,True,88.48178807947019,112.2637253957622,11.347424340424425,0,604
xgboost,B,v2,True,89.07119205298014,112.95509129298522,11.385004453985074,0,604
xgboost,C,v1,False,89.20033112582782,113.32257042128641,11.357409554755796,0,604
xgboost,C,v2,False,89.3476821192053,113.73110788461639,11.390899165075114,0,604
xgboost,C,v1,True,89.4023178807947,113.24506772587674,11.453600761446735,0,604
xgboost,B,v2,False,89.6456953642384,113.75829785613807,11.42694218198631,0,604
xgboost,D,v1,False,90.36920529801324,115.77776868576413,11.573109598868381,0,604
xgboost,D,v2,True,90.91390728476821,115.20420970509208,11.720958721247712,0,604
lightgbm,C,v2,True,91.64735099337749,117.95121199290844,11.775406058773969,0,604
xgboost,D,v2,False,91.65728476821192,117.39825099952871,11.758908100972173,0,604
xgboost,D,v1,True,91.72682119205298,115.9967101040667,11.822060984870317,0,604
lightgbm,C,v1,True,92.13741721854305,118.76783937107794,11.81569403068998,0,604
lightgbm,B,v2,True,92.55463576158941,118.88529587867012,11.84421540462132,0,604
lightgbm,C,v2,False,94.30463576158941,121.51588073796437,12.18907256291288,0,604
lightgbm,B,v2,False,94.54801324503312,121.92793849413867,12.195489205415477,0,604
lightgbm,C,v1,False,94.5728476821192,122.052670206906,12.236712529332355,0,604
lightgbm,D,v2,False,94.65562913907284,121.62884591633843,12.33514485051361,0,604
lightgbm,D,v1,False,95.77152317880795,122.73712014811026,12.442111761035632,0,604
lightgbm,D,v1,True,96.78807947019868,123.51283548603895,12.502392005966549,0,604
lightgbm,D,v2,True,97.19370860927152,123.83819688053649,12.57240542253267,0,604
xgboost,A,v2,True,104.10761589403974,133.9266194748957,12.945650579209014,0,604
lightgbm,A,v2,True,107.56953642384106,138.2773151823528,13.57629826180267,0,604
xgboost,A,v2,False,110.37582781456953,144.70396247154702,13.690770768947957,0,604
weekday_mean,baseline,n/a,False,113.94039735099338,152.12781093845777,15.667933048569797,0,604
lightgbm,A,v2,False,117.70198675496688,151.326715534426,14.695104638579082,0,604
past_5_actual_mean,baseline,n/a,False,167.6456953642384,212.4882700307531,21.321076150445332,0,604
train_mean,baseline,n/a,False,183.25993377483445,223.32350024480047,24.81819310283429,0,604
available_rate,baseline,n/a,False,192.86920529801324,226.00270686417403,26.146768845229452,0,604
