model,group,mae,rmse,mape_pct,mape_excluded_zeros,n
lightgbm,B,85.77348066298343,112.07631082219744,11.09830011588321,0,181
lightgbm,C,85.92817679558011,111.4845825874418,11.12276495108821,0,181
lightgbm,D,87.15469613259668,110.60134474120798,11.343587401928374,0,181
xgboost,D,87.34254143646409,110.33081846321286,11.214700106509442,0,181
xgboost,B,90.04972375690608,113.54515737111353,11.608033233420107,0,181
xgboost,C,92.8011049723757,116.65889739981874,11.967948249499564,0,181
xgboost,A,104.33149171270718,134.45243978275704,13.03545962701606,0,181
lightgbm,A,108.56353591160222,139.17785433797127,13.534480846445634,0,181
